Ano,UF,Produto_lavouras,kg_hectare
2020,Goiás,Milho (em grão),6837
2020,Goiás,Soja (em grão),3592
2020,Distrito Federal,Milho (em grão),7943
2020,Distrito Federal,Soja (em grão),3900
2021,Rondônia,Milho (em grão),4266
2021,Rondônia,Soja (em grão),3376
2021,Acre,Milho (em grão),3105
2021,Acre,Soja (em grão),3368
2021,Amazonas,Milho (em grão),2261
2021,Amazonas,Soja (em grão),3333
2021,Roraima,Milho (em grão),5341
2021,Roraima,Soja (em grão),3097
2021,Pará,Milho (em grão),3101
2021,Pará,Soja (em grão),2962
2021,Amapá,Milho (em grão),905
2021,Amapá,Soja (em grão),2680
2021,Tocantins,Milho (em grão),4269
2021,Tocantins,Soja (em grão),3134
2021,Maranhão,Milho (em grão),4693
2021,Maranhão,Soja (em grão),3166
2021,Piauí,Milho (em grão),4245
2021,Piauí,Soja (em grão),3262
2021,Ceará,Milho (em grão),743
2021,Ceará,Soja (em grão),3202
2021,Rio Grande do Norte,Milho (em grão),487
2021,Rio Grande do Norte,Soja (em grão),-
2021,Paraíba,Milho (em grão),655
2021,Paraíba,Soja (em grão),-
2021,Pernambuco,Milho (em grão),642
2021,Pernambuco,Soja (em grão),2000
2021,Alagoas,Milho (em grão),2516
2021,Alagoas,Soja (em grão),2835
2021,Sergipe,Milho (em grão),4481
2021,Sergipe,Soja (em grão),-
2021,Bahia,Milho (em grão),4208
2021,Bahia,Soja (em grão),4023
2021,Minas Gerais,Milho (em grão),5875
2021,Minas Gerais,Soja (em grão),3609
2021,Espírito Santo,Milho (em grão),3022
2021,Espírito Santo,Soja (em grão),-
2021,Rio de Janeiro,Milho (em grão),4238
2021,Rio de Janeiro,Soja (em grão),-
2021,Guanabara,Milho (em grão),...
2021,Guanabara,Soja (em grão),...
2021,São Paulo,Milho (em grão),5455
2021,São Paulo,Soja (em grão),3489
2021,Paraná,Milho (em grão),3827
2021,Paraná,Soja (em grão),3480
2021,Santa Catarina,Milho (em grão),5983
2021,Santa Catarina,Soja (em grão),3373
2021,Rio Grande do Sul,Milho (em grão),5656
2021,Rio Grande do Sul,Soja (em grão),3343
2021,Mato Grosso do Sul,Milho (em grão),2768
2021,Mato Grosso do Sul,Soja (em grão),3622
2021,Mato Grosso,Milho (em grão),5518
2021,Mato Grosso,Soja (em grão),3381
2021,Goiás,Milho (em grão),5779
2021,Goiás,Soja (em grão),3542
2021,Distrito Federal,Milho (em grão),5400
2021,Distrito Federal,Soja (em grão),3900
